symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-mpg,price,price-binned,horsepower-binned,diesel,gas
3,122.0,alfa-romero,std,two,convertible,rwd,front,88.6,0.8111484863046613,2.9624999999999986,-2.0290145032580464,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,27,13495.0,Low,Low,0,1
3,122.0,alfa-romero,std,two,convertible,rwd,front,88.6,0.8111484863046613,2.9624999999999986,-2.0290145032580464,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,27,16500.0,Low,Low,0,1
1,122.0,alfa-romero,std,two,hatchback,rwd,front,94.5,0.8226814031715521,4.362499999999997,-0.5583194270710061,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,12.368421052631579,26,16500.0,Low,Medium,0,1
2,164.0,audi,std,four,sedan,fwd,front,99.8,0.8486304661220567,5.0625,0.21788075202770885,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,9.791666666666666,30,13950.0,Low,Low,0,1
2,164.0,audi,std,four,sedan,4wd,front,99.4,0.8486304661220567,5.262500000000003,0.21788075202770885,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,13.055555555555555,22,17450.0,Low,Low,0,1
2,122.0,audi,std,two,sedan,fwd,front,99.8,0.8519942335415667,5.162499999999994,-0.27235094003463606,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25,15250.0,Low,Low,0,1
1,158.0,audi,std,four,sedan,fwd,front,105.8,0.9259971167707832,10.262500000000003,0.7898177261004489,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25,17710.0,Low,Low,0,1
1,122.0,audi,std,four,wagon,fwd,front,105.8,0.9259971167707832,10.262500000000003,0.7898177261004489,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,25,18920.0,Medium,Low,0,1
1,158.0,audi,turbo,four,sedan,fwd,front,105.8,0.9259971167707832,10.262500000000003,0.8715230081108383,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,13.823529411764707,20,23875.0,Medium,Medium,0,1
2,192.0,bmw,std,two,sedan,rwd,front,101.2,0.849591542527631,3.6625000000000014,0.21788075202770885,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,29,16430.0,Low,Low,0,1
0,192.0,bmw,std,four,sedan,rwd,front,101.2,0.849591542527631,3.6625000000000014,0.21788075202770885,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,29,16925.0,Low,Low,0,1
0,188.0,bmw,std,two,sedan,rwd,front,101.2,0.849591542527631,3.6625000000000014,0.21788075202770885,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,28,20970.0,Medium,Medium,0,1
0,188.0,bmw,std,four,sedan,rwd,front,101.2,0.849591542527631,3.6625000000000014,0.21788075202770885,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.19047619047619,28,21105.0,Medium,Medium,0,1
1,122.0,bmw,std,four,sedan,rwd,front,103.5,0.9082172032676598,5.762500000000003,0.7898177261004489,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,11.75,25,24565.0,Medium,Medium,0,1
0,122.0,bmw,std,four,sedan,rwd,front,103.5,0.9082172032676598,5.762500000000003,0.7898177261004489,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,14.6875,22,30760.0,Medium,Medium,0,1
0,122.0,bmw,std,two,sedan,rwd,front,103.5,0.9312830370014417,6.762500000000003,-0.027235094003462152,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,14.6875,22,41315.0,High,Medium,0,1
0,122.0,bmw,std,four,sedan,rwd,front,110.0,0.9466602594906295,9.762500000000003,1.03493357213162,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15.666666666666666,20,36880.0,High,Medium,0,1
